RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_004/EQP_299_C,547.0,7.692870201096892,1.1342181908111022,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_300_A,125.0,7.504,1.423444255454739,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_300_B,162.0,7.037037037037037,3.0945531970387856,0.0,False,4.372264174588628e-26,False,4.590560023765652e-07,WOW
STEP_004/EQP_300_C,135.0,7.007407407407407,3.959677915999252,0.0,False,4.372264174588628e-26,False,0.000551014811799317,WOW
STEP_004/EQP_301_A,457.0,7.733041575492341,1.987588170950606,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_301_B,459.0,7.8387799564270155,1.3575518332127836,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_301_C,440.0,7.4818181818181815,3.3761371307849095,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_302_A,570.0,7.731578947368421,1.5830448175776153,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_302_B,566.0,7.786219081272085,1.48927285745556,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_302_C,560.0,7.744642857142857,2.0937268637320168,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_303_A,184.0,7.907608695652174,1.2223540574124203,0.0,False,4.372264174588628e-26,False,0.056375978155860124,DUMMY
STEP_004/EQP_303_B,178.0,8.0,1.3319201550524833,0.0,False,4.372264174588628e-26,False,0.018593392445031564,BOB
STEP_004/EQP_303_C,184.0,7.532608695652174,2.646581822523526,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_304_A,809.0,7.697156983930778,1.4585033446194577,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_304_B,828.0,7.676328502415459,1.4790990585375121,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_304_C,202.0,8.44059405940594,1.3416169213846512,0.0,False,4.372264174588628e-26,False,1.7005810841783208e-12,BOB
STEP_004/EQP_305_A,596.0,7.956375838926174,1.3502976776146665,0.0,False,4.372264174588628e-26,False,3.3405809246208404e-05,BOB
STEP_004/EQP_305_B,595.0,7.852100840336134,1.9126483454931837,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_305_C,573.0,7.647469458987784,2.1364260196914313,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_306_A,139.0,7.7913669064748206,1.3751143306558702,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_306_B,34.0,7.823529411764706,0.9991083368712842,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_306_C,142.0,7.633802816901408,1.0881624385899233,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_307_A,225.0,7.733333333333333,2.872281323269013,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_307_B,233.0,7.802575107296137,1.5465735973318206,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_307_C,219.0,7.735159817351598,1.670904920741382,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_309_B,526.0,7.602661596958175,1.0884294266023065,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_310_A,375.0,7.64,1.2087028447244261,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_310_B,404.0,7.7227722772277225,1.2191101329461058,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_310_C,449.0,7.6815144766147,1.3054287149485728,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_005/EQP_115_2,1066.0,7.389305816135084,2.9511576603827216,0.0,False,2.3013080839805363e-25,False,0.003574414680795444,WOW
STEP_005/EQP_115_3,1510.0,7.687417218543047,2.051759161668332,0.0,False,2.3013080839805363e-25,False,1.0,DUMMY
STEP_005/EQP_115_4,1183.0,7.602704987320372,1.7681309603920563,0.0,False,2.3013080839805363e-25,False,0.0005978401065946464,WOW
STEP_005/EQP_117_2,1170.0,7.54017094017094,1.6716352427439274,0.0,False,2.3013080839805363e-25,False,1.697718378022975e-06,WOW
STEP_005/EQP_117_3,1153.0,7.6201214223764095,1.5471785428893268,0.0,False,2.3013080839805363e-25,False,0.0014460842114456356,WOW
STEP_005/EQP_117_4,1180.0,7.680508474576271,1.3411196615116083,0.0,False,2.3013080839805363e-25,False,0.0530121853277003,DUMMY
STEP_005/EQP_118_2,1017.0,7.76204523107178,2.3988216730745098,0.0,False,2.3013080839805363e-25,False,1.0,DUMMY
STEP_005/EQP_118_3,1145.0,7.7109170305676855,1.787513395988217,0.0,False,2.3013080839805363e-25,False,1.0,DUMMY
STEP_005/EQP_118_4,925.0,8.103783783783785,1.5247016444915067,0.0,False,2.3013080839805363e-25,False,1.9492642982704668e-21,BOB
